"dailyTxns","dailyVolumeToken0","dailyVolumeToken1","dailyVolumeUSD","date","pairAddress","reserve0","reserve1","reserveUSD","token0.decimals","token0.id","token0.name","token0.symbol","token1.decimals","token1.id","token1.name","token1.symbol","totalSupply"
"8","138.013273825347716348","3981.886948187854508421","4005.362455392098671066244515860845",1617321600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2870.089874976904152811","85912.132714487631300106","172177.3424827254399420438224570172",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"14486.371604963969702866"
"19","465.154799517093505094","13643.735788955474882962","13615.8954233924709914008962505196",1617235200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2926.002616802251869159","84258.561154256918397553","168957.0910757551323250712208285362",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"14486.371604963969702866"
"7","111.968145958421259077","3133.079805440590709442","3137.361027310567274708502711128347",1617148800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2969.359469520103233663","82949.621740229548792913","165262.923459809743784795332349353",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"14482.968162268568642856"
"10","110.96286980900026039","3201.354403977748417232","3200.18975412756731308310078337232",1617062400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2940.487288485340072394","83754.638874115410663461","167692.6942453766418899477557001651",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"14482.968162268568642856"
"21","260.253341031032362755","7467.026000425369102939","7478.342081522958446265792009110045",1616976000,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2898.576345873979588192","84955.993278093159080693","168713.7720099790916345413470193516",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"14482.968162268568642856"
"19","98.495576345734615687","2766.086678337193835633","2765.245794197129549957784403694478",1616889600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2979.856383250651104296","82565.329293280836593939","164605.1369646414246923401210916228",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"14478.459864730042594284"
"19","224.656127350495352704","6455.311629548707196618","6447.149522847610477926872442648589",1616803200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2422.839525076144252446","68239.97990900022265616","136698.3062356566899294848105359526",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11869.414329058683690126"
"32","297.491787788265124601","8206.181596784235885193","8239.863457862067856892639885034452",1616716800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2412.75633700235633947","68505.977353871819413494","137612.2053802210006474228003337286",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11869.414329058683690126"
"22","336.742379250388181413","9051.81094756003957039","9046.909574148040555874720584381166",1616630400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2501.217802936379559139","66059.098811595247998581","132402.8694534759106078606751538778",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11869.414329058683690126"
"28","346.059967416601784525","10143.281181876181950579","10079.25765517195392458325125838762",1616544000,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2464.816433235807655374","66920.988893640764456912","133725.4075629667129486463697080204",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11861.749789577272104797"
"47","635.086077548677308463","21150.618379173302578878","21147.79374879216063026078332418407",1616457600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2321.770462391534702199","71941.029185473247078811","144415.5339380246104226259419685893",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11938.960899203653873162"
"22","359.167431492417795527","12195.708172323226473506","12218.0793211016196184750315979651",1616371200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2250.798216778877888321","74593.606526139418857378","150573.0865856313975603805233326258",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11974.863893276124248445"
"21","137.314544474487393538","4425.493686380201698982","4448.965361780901384405455437690012",1616284800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2020.895578564506044611","66750.684384818470096791","133305.1754408857141513493724398559",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10736.41183882084080961"
"19","126.249943718283775719","4211.191495326953675865","4224.220445541828500239791017323398",1616198400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2050.550465407985076775","65772.127662507963726815","132238.4249774773327457025414070913",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10736.41183882084080961"
"29","234.081684874319965139","7350.084767570782364062","7408.303702578996442442719471277202",1616112000,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2012.395553145983265562","67006.56314788219645176","133552.9721781539812982190572033867",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10736.41183882084080961"
"10","73.109283634605886216","2231.2897792762147447","2231.793678140267196463286403260216",1616025600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2124.118577010472718583","63398.030664950742506743","126614.1184537359115159903292188661",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10731.101661846359359207"
"16","130.023403660716203944","3959.175749280277544207","3982.839973572505256074075342006982",1615939200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2071.172170210740167225","65011.922479972981167293","130148.4025573167068395519220435718",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10731.101661846359359207"
"13","109.346689309124094938","3211.393139451616875783","3211.182319161523659249531427991984",1615852800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2123.440130525370087193","63399.939776146137986118","126520.0375668826238723331061318709",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10731.101661846359359207"
"20","485.94124603574869727","13765.064763649093546919","14212.96601814286419096133548144026",1615766400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2116.33617540186129192","63004.343538821226759464","126020.2004531916342263280921556188",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10680.47707114018359424"
"23","124.223051395582967229","4026.94275534611795128","4029.20010713704428344506099195951",1615680000,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","1896.292455366295375129","58796.727333059679116697","117938.5844301191560125387181332041",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"9769.764580812499083768"
"19","96.012705372684796919","3057.498613104958305894","3070.595546328590532687862348081959",1615593600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","1858.008870338205482186","59925.07207182180737712","119419.4767423208727011676402098878",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"9763.974811259055498278"
"16","106.505583886430728951","3248.930457355018245156","3239.765787502402280959251586059282",1615507200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","1966.270550772001062663","59916.541545420991672749","120854.6255259624846409319722452312",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10044.449576062137943465"
"29","117.525241576994959993","3587.848713755722580482","3587.93224179982790011224698376442",1615420800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","1941.88070663373472454","60659.254693578778384413","122033.1305604000790565526122863256",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10044.449576062137943465"
"33","310.991750558986048438","9820.20678459714891238","9842.340786609053680657211541813229",1615334400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","1945.451227597077741001","60537.062193288004601037","121502.2141154117820379457306649159",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"10044.449576062137943465"
