"dailyVolumeETH","dailyVolumeUSD","dailyVolumeUntracked","date","totalLiquidityETH","totalLiquidityUSD","totalVolumeETH","totalVolumeUSD","txCount"
"1333439.027528035798829203589730808","458880257.510884300177407933280767","466995952.0658176073676805971779562",1599609600,"1487706.352334938812083007303529231","520073775.4513626791208111885769522","0","0","6860233"
"1220590.546306973725711261551665837","413302039.9255341283534546568687838","2641575082.930343485722970504118777",1599523200,"4723738.92486460080544048808047281","1571945478.787803249287800810382792","0","0","6724593"
"1388068.057249370298654257943784266","474448606.4242691572630475367189098","482048944.096957055539782053691954",1599436800,"4910333.35485934980213970672229865","1721407812.94490142382313360293711","0","0","6590951"
"1999142.83379039095397174982629567","683405984.1885894029645297138289024","6528864440.725094047806311764013009",1599350400,"4599512.194720605990183003488210998","1621437249.979600729736251509563143","0","0","6454380"
"2472049.579797134752568038759761599","871306527.7175689468067462235900199","878733348.2742159848611223655069483",1599264000,"3739184.416098045209510747727313586","1241056303.407149186292270362642744","0","0","6307061"
"1609191.229039666587665338434079424","620088697.380953675108210730039852","632999360.1691440306972746741867429",1599177600,"5090751.887462581713617068505494536","1961430561.544018497854472671764956","0","0","6151607"
"2176936.773725425226332029902521669","911135628.9559829850171430586179725","939592979.4573111871496073787690718",1599091200,"4683288.990736931269126392610943089","1783901870.744035839952639026477092","0","0","5997110"
"2174779.524878466745390231276376793","987312059.5508477485053951509919609","1026063427.355604193437661396638973",1599004800,"4336566.739147694259606609517536819","1917582286.097040498720891608165127","0","0","5810099"
"2146141.366793609579747306801906261","994262955.590321171801487529404083","1018688365.34446168864310733318991",1598918400,"4077856.153605266196342285043253834","1952205169.090923229971907289762006","0","0","5617807"
"1449819.085448258060869324162924142","623026151.7152023817369086785624853","637090102.675535232232600083807223",1598832000,"3155004.971954696463616674134150057","1372994461.959978208622575193125109","0","0","5431251"
"1334796.757836070036022417729392497","547433714.2896968109669105827760659","559373965.2235221429513133955374213",1598745600,"2205751.164889181637433877774093285","937536903.418347649740179424999121","0","0","5253214"
"846304.0748657654126667114641369502","337228956.9285273079288437839887423","342298052.4482146603412168158489644",1598659200,"1599585.277272292897350613406531389","636726095.5830146519625137694205355","0","0","5072038"
"616625.25954706710869668694907424","241137757.9059121403246232021888559","247910221.6196667857589069276035899",1598572800,"1320715.956910327034267844440202223","520701588.0722300275728053911371708","0","0","4923059"
"454897.7874028364079423191082311892","173466432.2191026196809853533679333","181854136.3665139118468218202043071",1598486400,"810873.437951531664385670331075125","307868578.8225852509056986536298016","0","0","4796287"
"554870.9172063569960976623883228075","213394008.6751240598372212041161662","218174957.1106999977883530636861489",1598400000,"801416.3361993757506361000114027716","308050405.2381667508323112914996437","0","0","4680074"
"510426.634115130869481086798321465","198240824.2032475258802682149883731","208005244.2821509709599706594033906",1598313600,"761562.4508648663581635585296261853","290878223.9734565122903736637799071","0","0","4552519"
"515879.4395151380979474023277840718","205967597.7894833335243634904454966","215572478.9993582956745698961601446",1598227200,"744181.0613714832460942736677079905","303105298.2174067261684653687165097","0","0","4430888"
"429840.0008762388889494645112471586","167581911.4799683784870279350127862","172924789.2703297546914425966400847",1598140800,"738589.4714537987397021264221754061","288442406.3732609341091211536587551","0","0","4294073"
"459881.1954804765712330661426385035","178646033.0617599350706085594281079","185571017.8241242979576428333351191",1598054400,"726631.8065542123148835565845715787","286600975.2926176069898676898898442","0","0","4168193"
"660962.2825423832958247532708186049","267541309.9598453097926620297656701","277430708.7816458842400283117347427",1597968000,"703663.1271987533444977008633506298","270481321.3823102612907125096886167","0","0","4053041"
"579011.9982600717436102485885189536","237673301.9306596355879787121639394","247581135.6050773188315052291965453",1597881600,"719455.7232540169166057751813609026","298393111.1619954167820608254681333","0","0","3925461"
"540955.8186594082389158694069629628","221412960.0157100458783002541142981","227693775.7993478826385795772086718",1597795200,"758669.9708723229491144812467433502","307412747.1508786123172145924579616","0","0","3801346"
"571970.6064698367204192271136475022","243735266.2608346555459429666324086","257015720.3522668382067422143805593",1597708800,"701238.17327674407997843484807136","295733459.3988955495893208384459565","0","0","3689954"
"443249.6847502390227191625587046896","190746778.644562429154315871406402","199305866.3562194016944703790130176",1597622400,"634465.8996200135820934571404622794","272658004.4119188959409525679474913","0","0","3558244"
"423565.1322573814605437555801754176","180721773.6762919304184663347485449","191113072.4850247505669999041725079",1597536000,"632776.3124874631880668540042100584","273386564.6314463138338930673578865","0","0","3448784"
"397924.1418105646280973394710122829","173100289.43800716632294898203295","189804955.1854064904345067406437242",1597449600,"630632.356956545680346642980864389","271551778.9527941740343747972890308","0","0","3331719"
"509527.181307658192316277002256965","217896399.1254981506756657098963739","222384818.668909890430796794767547",1597363200,"611308.3814080911769306450162023805","266216667.9440880100235858659180494","0","0","3231867"
"711955.4187895339058355323777862908","278464389.8419382294133820080101194","285006899.4467884019834947285422926",1597276800,"650110.2391414315450391938404168167","275433143.5097790026658525827546514","0","0","3125859"
"760609.347658136911875765728575753","288831034.4986370399621810986654323","296853360.0785126509516490668316514",1597190400,"758396.1481280202698009677668173608","291958702.2632420460499817131644252","0","0","3018086"
"470393.6370922622702265542094354514","181060668.9823120526152171039871266","186388589.1873492124075938465847346",1597104000,"620694.9260325033150319654645931207","234851317.5352817267301896617087736","0","0","2896266"
"591762.8783918166474017977628689504","237398402.173328847488408206234822","246319112.7808753051345237201075225",1597017600,"580018.835399132822430893284351685","228340698.2123492627547861407272036","0","0","2780502"
"395709.0278462177175427028329194534","154280137.4295251102312823850384438","164639217.6474852915070492635770156",1596931200,"569984.9869829302909252929758321803","221814449.1583440369402906145288826","0","0","2656709"
"347067.9649623309065033221171394411","133426981.5870254520165730604097107","138190918.5376745555564346076358246",1596844800,"546833.9550274262911877480214612767","214856205.942525715501712964786538","0","0","2539063"
"346718.7660046772584382844624806224","133090116.2315556687087024024052059","135886335.2090857328776096011722516",1596758400,"530610.3374607145641467431572810528","199998118.9200743304508969355374572","0","0","2439462"
"219445.1362207966314874228309266321","86665402.73757468910584201028910017","90189507.84543611351846297338494393",1596672000,"491392.2204082984419584030209977983","192938223.0354185652559326990920844","0","0","2348037"
"211442.9846318460470159269917535555","82989655.57402172545399346284882874","88287625.07103755488108576030884174",1596585600,"471388.3206597503132210365028546349","187788969.7601546066841120161126382","0","0","2276458"
"226573.4930520998247466882077752321","88060968.9275897279949911450183687","91540040.34185923830555558835286634",1596499200,"463635.6523292420446433284964045509","179978460.6689150454125538836458081","0","0","2203684"
"233964.7512591794712986530220610314","90156212.83459115644498590386618073","95511682.10522144208427378750724074",1596412800,"451258.0809375274536870717159907681","173541797.8760755943119391334351188","0","0","2134985"
"245301.0409951781193100239740529084","92218198.64936782011552824547989203","94840433.21037522953397375314253405",1596326400,"435600.1717199689574002390186645004","160392428.3067274626937393421745689","0","0","2066178"
"296079.1331401725465420400154732369","106153312.213655921499404318223546","108855039.9532375300473705013556647",1596240000,"443413.2475923136688880788134094871","170056072.2821964457827259747650215","0","0","2008475"
"371706.2988082052240288430915838039","125483574.8318424828350192182480772","129405257.4032027030107248227664615",1596153600,"441621.751705205176825209164054726","151886021.6979343302065902721620087","0","0","1936366"
"403416.6558565084109765024418402294","128028355.1963453228801798301991849","129935708.4072725540369606047648083",1596067200,"428160.9887861639845790708862648457","141977106.6696463326976746769293683","0","0","1852062"
"340977.9685104608429933172477270775","108003407.3158555635699944792294834","109792299.2035474571636813880371834",1595980800,"449862.9442104173492460046517859736","141364853.7832669137236473073845739","0","0","1784752"
"299314.3111789789839858848682364378","94436079.86353190603334594227569445","96749718.95648170473991581272587625",1595894400,"459596.7808217933032171234100125095","144784498.3928733013854744028331445","0","0","1722212"
"432895.964821372582352591280150356","139190039.7295460112481059270943896","143263867.5787529751412880242223336",1595808000,"453054.2686390133360256109188093664","144584799.4906144783414280922659499","0","0","1667018"
"348631.8647837570542054865672307225","106815991.0036477376084641650779342","108577124.7429369592274484797390556",1595721600,"438986.629559192415506544007040876","136211920.3598752735867197867140933","0","0","1601414"
"354976.4461007863712091154574119374","101719920.3500627517082079995926123","103458109.4245275014957750328167092",1595635200,"417682.9474126310091814019992581651","127124763.5606404060226879311531797","0","0","1540191"
"272749.5300436030110204856357915143","74784378.80925103981734056561349197","76526546.2306635217751585681828315",1595548800,"393049.2142426711797576066344648148","108496886.8190869289511474402113941","0","0","1478665"
"268965.5711083086008803918871318116","71556347.75092144902463240211019087","73092641.65463231906700649271846567",1595462400,"364775.9588878026805059277271001456","99858095.63261975234257536607359295","0","0","1424174"
"265812.9412712092624695350896968131","65334965.30457414955864934317900973","67326869.83373402678070179965723772",1595376000,"364391.1513150258485457246755376839","95420757.5648113719507510528171858","0","0","1373931"
"229507.1616903846968210545276782318","55329715.08617903570179068783335198","56275763.98340965205522916993292238",1595289600,"378907.3911967559071638855763335587","92360030.37631908054510549892192186","0","0","1321246"
"233549.2028381092119038156259183977","55319391.46622767558617645722862987","57442997.74148855392146780451824068",1595203200,"370937.1627600515682786773649563652","86936517.07022921462823010698865144","0","0","1272189"
"206009.7989705240623451818122200168","48109071.72941171067362486785492771","49363777.0086898304442786972080447",1595116800,"365909.4662381240798728296353727693","87441580.36990369179715944851404256","0","0","1221239"
"192831.7806861464025181103803408169","44930703.83436120062693942104911572","45826671.81630897871941843893088225",1595030400,"346381.8935242588616455807341139775","81152382.34914579633983381954023376","0","0","1168808"
"184716.8898384358819769324253861957","42829817.7973657761688681365434862","43440880.09918836058816561399995634",1594944000,"337859.7885639768695244177463598671","78322222.01916701368197702810208558","0","0","1125456"
"118349.763016687878646119762567976","27496434.1437739209652593696012105","27970015.2678285251145087900305149",1594857600,"317716.5528400757861767237586588204","73930174.92769033860843523771003138","0","0","1085101"
"122016.6024023486890092112497745347","28994721.82559177924748653030535742","29628841.39031626602848786059578176",1594771200,"291770.7020368934641008856485647045","69166095.66165483977085825158245875","0","0","1056558"
"114468.4925491424546930454134471796","27237159.36828484449050844696280989","27632418.91732933434866290473994167",1594684800,"273794.0780582187582293808119772728","65502461.12190842139352953929683525","0","0","1027410"
"193019.3833465206227993396143822104","46497646.53148871046333469883603938","47585475.25680270411412096491787288",1594598400,"266543.981643627177434550129639326","63265717.21682065964085493148034947","0","0","997666"
"119762.2812715119137316461765547372","28475466.28322692138013927464374495","29485997.93313955251520038230810652",1594512000,"262206.0839092506202479001819064966","62913677.7805350941580816149311072","0","0","957241"
"85584.71434502816603373480942688927","20361864.85591403488035693577276233","21556469.19044173727420577597123318",1594425600,"257478.9524922161365964592043019131","61127356.76838147560438294052365436","0","0","924355"
"82569.21274255117117663427061593233","19591445.96895933249151019567712432","20071978.60009798429073985624325604",1594339200,"240285.0504359713428640737860476725","57665080.99686212366046464586195017","0","0","895504"
