"hourStartUnix","hourlyTxns","hourlyVolumeToken0","hourlyVolumeToken1","hourlyVolumeUSD","pair.id","pair.token0.decimals","pair.token0.id","pair.token0.name","pair.token0.symbol","pair.token1.decimals","pair.token1.id","pair.token1.name","pair.token1.symbol","reserve0","reserve1","reserveUSD"
1602734400,"1","2.447495607639173939","7.431715149448778115","7.49926313463332191403426829775123",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6762.666749636410811201","20480.374807977982828996","41387.78790915668916341057738567762"
1602730800,"1","0.656115530103163716","1.99135211","2.00249264391135583555687594376997",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6765.11424524404998514","20472.943092828534050881","41234.78819518949352173094783724644"
1602727200,"4","26.939204962290031865","81.379237193356534651","82.07245129532917927437713773595487",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6765.770360774153148856","20470.951740718534050881","41402.55337661019957882736176974239"
1602723600,"5","39.927856302649326246","121.415474728160058863","122.1148307319933449345533829316946",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6758.631035392581844995","20492.330977911890585532","41191.24768872996689436696730197556"
1602720000,"3","2.770294522653540846","8.4776","8.545483225689995044268384163711895",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6718.703179089932518749","20613.746452640050644395","41421.39326288220915115668512681771"
1602716400,"3","21.347700422655179499","65.538527160158602861","66.00813954205436158513976302760887",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6669.854790672553770816","20480.851213380992062715","41255.04258387368894209673869327174"
1602712800,"4","36.055907156556814378","110.287653888524012606","110.8081503856439649626179341537679",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6691.202491095208950315","20415.312686220833459854","41038.73013581629694880516848853593"
1602709200,"3","9.746993871173420499","29.763639710801297029","29.99228348960652849096676308005745",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6656.977839731647682675","20296.650717891076440953","40939.10195122830548696361473469523"
1602705600,"3","47.180271468262240003","142.848358449646982955","143.7301790671858798425959206845878",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6666.724833602821103174","20266.887078180275143924","40747.58072074072774170124204182398"
1602702000,"3","31.23423603535463882","94.597677342443791318","95.26209668981798972229055290500927",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6673.544562134558863171","20245.747265387479205543","40764.5491980999254018653927601715"
